,Server-RSSI-1,Server-RSSI-2,Server-Distance-1,Server-Distance-2
482,-39,-77,1.2,2.8
483,-45,-65,1.2,2.8
484,-45,-66,1.2,2.8
485,-45,-66,1.2,2.8
486,-44,-77,1.2,2.8
487,-49,-66,1.2,2.8
488,-50,-66,1.2,2.8
489,-50,-72,1.2,2.8
490,-39,-72,1.2,2.8
491,-39,-65,1.2,2.8
492,-49,-65,1.2,2.8
493,-49,-72,1.2,2.8
494,-39,-72,1.2,2.8
495,-39,-77,1.2,2.8
496,-39,-72,1.2,2.8
497,-40,-72,1.2,2.8
498,-40,-78,1.2,2.8
499,-40,-73,1.2,2.8
500,-40,-73,1.2,2.8
501,-40,-78,1.2,2.8
502,-45,-78,1.2,2.8
503,-46,-64,1.2,2.8
504,-49,-65,1.2,2.8
505,-49,-73,1.2,2.8
506,-45,-74,1.2,2.8
507,-46,-64,1.2,2.8
508,-50,-64,1.2,2.8
509,-50,-78,1.2,2.8
510,-45,-78,1.2,2.8
511,-45,-74,1.2,2.8
512,-40,-74,1.2,2.8
513,-40,-77,1.2,2.8
514,-50,-65,1.2,2.8
515,-50,-65,1.2,2.8
516,-50,-65,1.2,2.8
517,-50,-74,1.2,2.8
518,-40,-74,1.2,2.8
519,-40,-64,1.2,2.8
520,-50,-64,1.2,2.8
521,-50,-75,1.2,2.8
522,-40,-75,1.2,2.8
523,-40,-76,1.2,2.8
524,-40,-72,1.2,2.8
525,-40,-72,1.2,2.8
526,-40,-76,1.2,2.8
527,-40,-72,1.2,2.8
528,-40,-73,1.2,2.8
529,-40,-76,1.2,2.8
530,-49,-71,1.2,2.8
531,-50,-71,1.2,2.8
532,-50,-76,1.2,2.8
533,-50,-71,1.2,2.8
534,-45,-65,1.2,2.8
535,-50,-65,1.2,2.8
536,-50,-66,1.2,2.8
537,-50,-65,1.2,2.8
538,-51,-72,1.2,2.8
539,-39,-72,1.2,2.8
540,-39,-74,1.2,2.8
541,-40,-74,1.2,2.8
542,-40,-75,1.2,2.8
543,-50,-72,1.2,2.8
544,-40,-72,1.2,2.8
545,-40,-74,1.2,2.8
546,-45,-74,1.2,2.8
547,-46,-65,1.2,2.8
548,-40,-65,1.2,2.8
549,-45,-74,1.2,2.8
550,-50,-72,1.2,2.8
551,-40,-72,1.2,2.8
552,-40,-74,1.2,2.8
553,-50,-73,1.2,2.8
554,-50,-73,1.2,2.8
555,-50,-74,1.2,2.8
556,-39,-72,1.2,2.8
557,-39,-73,1.2,2.8
558,-39,-65,1.2,2.8
559,-50,-64,1.2,2.8
560,-50,-75,1.2,2.8
561,-50,-75,1.2,2.8
562,-50,-75,1.2,2.8
563,-50,-76,1.2,2.8
564,-40,-76,1.2,2.8
565,-40,-75,1.2,2.8
566,-40,-77,1.2,2.8
567,-40,-78,1.2,2.8
568,-40,-76,1.2,2.8
569,-40,-77,1.2,2.8
570,-40,-77,1.2,2.8
571,-40,-75,1.2,2.8
572,-50,-75,1.2,2.8
573,-40,-77,1.2,2.8
574,-40,-77,1.2,2.8
